model_path,model_name,algorithm,environment,mode,seed,task_id,avg_return,success,error
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_0,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/Breakout-v5,0,1,0,0.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_1,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/Freeway-v5,0,1,1,33.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_10,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/SpaceInvaders-v5,1,1,10,175.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_11,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/SpaceInvaders-v5,2,1,11,575.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_12,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/SpaceInvaders-v5,3,1,12,570.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_13,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/SpaceInvaders-v5,4,1,13,575.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_14,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/SpaceInvaders-v5,5,1,14,570.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_15,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/SpaceInvaders-v5,6,1,15,530.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_16,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/SpaceInvaders-v5,7,1,16,520.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_17,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/SpaceInvaders-v5,8,1,17,900.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_18,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/SpaceInvaders-v5,9,1,18,430.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_2,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/Freeway-v5,1,1,2,21.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_3,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/Freeway-v5,2,1,3,17.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_4,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/Freeway-v5,3,1,4,0.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_5,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/Freeway-v5,4,1,5,31.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_6,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/Freeway-v5,5,1,6,22.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_7,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/Freeway-v5,6,1,7,18.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_8,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/Freeway-v5,7,1,8,23.0,True,
agents/cross_game__cnn-simple-ft__run_baselines_cross_game__1/task_9,cross_game__cnn-simple-ft__run_baselines_cross_game__1,cnn-simple-ft,ALE/SpaceInvaders-v5,0,1,9,270.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_0,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/Breakout-v5,0,1,0,0.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_1,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/Freeway-v5,0,1,1,21.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_10,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,1,1,10,1235.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_11,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,2,1,11,450.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_12,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,3,1,12,990.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_13,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,4,1,13,1000.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_14,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,5,1,14,600.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_15,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,6,1,15,1100.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_16,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,7,1,16,540.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_17,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,8,1,17,1485.0,True,
